"Y" "X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10" "X11" "X12"
"1" 25.74 0.46 0.64 0.25 4.11 4.3 1.53 0.18 0.1 0.74 0.12 0.07 0.25
"2" 29.75 0 1.79 0.33 4.25 4 1.73 1.26 0.12 0.27 0.15 0.3 0.33
"3" 34.9 0.24 0.36 0.2 4.44 4.88 0.44 0.39 0.94 0.01 0.97 0.57 0.5
"4" 44.49 0.45 1.86 0.21 4.71 4.44 1.23 0.69 0.29 0.29 0.52 0 0.23
"5" 49.87 0.91 1.26 0.12 4.85 4.75 1.76 0.9 0.26 0.33 0.54 0.31 0.21
"6" 89.48 0.26 1.54 0.25 5.61 5.42 1.44 1.23 0.42 0.06 0.57 0.15 0.37
"7" 49.41 0.52 3.34 0.4 4.83 4.3 0.83 0.83 0.14 0 0.21 0.21 0.59
"8" 36.68 0.24 1.38 0.37 4.49 4.35 1.45 0.58 0.4 0.36 1.04 0.16 0.44
"9" 26.12 0.19 0.91 0.21 4.13 4.17 2.89 1.95 0.06 0.29 0.11 0.39 0.21
"10" 33.72 0.29 1.7 0.18 4.4 4.17 2.13 0.56 0.21 0.58 0.4 0.46 0.21
"11" 30.65 0.85 1.6 0.01 4.3 4.09 1.31 0.73 0.23 0.34 0.38 0 0.01
"12" 15.3 0.02 0.15 0.7 3.62 4.45 4.57 4.51 0.54 0 0.63 0 0.7
"13" 25.81 0.76 0.6 -0.32 4.13 4.35 0.47 0.47 0.54 0 0.84 0 -0.58
"14" 25.6 0.39 2.34 0.11 4.11 3.74 0.85 0.14 0.41 0.49 0.97 0 0.11
"15" 41.37 0.06 1.19 0.65 4.63 4.55 1.81 1.25 0.65 0.1 0.77 0.26 0.81
"16" 0.03 0 0 1.47 0 4.18 12.98 12.98 0.05 0 0.06 0 1.47
"17" 24.33 0.39 1.12 0.08 4.06 4.01 1.43 0.59 0.36 0.36 0.44 0 0.09
"18" 28.17 0.26 1.42 0.13 4.21 4.06 1.75 0.92 0.31 0.33 0.41 0.6 0.13
"19" 22.85 0.15 2.33 0.23 3.99 3.62 1.49 0.79 0.21 0.37 0.49 0.23 0.23
"20" 37.05 0.67 1.62 -0.07 4.51 4.3 1.35 0.57 0.2 0.43 0.41 0 -0.07
"21" 0.7 0.15 0 0.04 1.74 4.24 0.29 0.29 0 0 0 0 0.04
"22" 28.94 0.34 1.65 0.03 4.24 4.02 1.42 0.71 0.28 0.36 0.43 4.21 0.03
"23" 13.76 0.38 1.29 0.14 3.52 3.41 1.12 0.61 0.27 0.33 0.37 0.16 0.15
